lon,lat
41.7538931,38.9461888
-73.9756567,40.6539346
-95.6217695,37.03260909999999
-102.4107493,34.2331373
28.9783589,41.0082376
6.1431577,46.2043907
-4.2026458,56.49067119999999
11.4257541,48.7665351
-71.4061876,41.9721816
21.824312,39.074208
-0.1277583,51.5073509
NA,NA
16.3738189,48.2081743
-116.5768152,46.510728
-116.5768152,46.510728
-1.1743197,52.3555177
-73.990146,40.731964
24.2152731,40.2644928
100.6196553,34.047863
21.745275,41.608635
-112.7632429,48.188534
55.975413,21.4735329
-5.93012,54.59728500000001
-72.5510984,46.343768
49.4542268,34.1630371
6.140277999999999,46.094167
-75.1962776,40.0037837
-91.4569236,34.78777669999999
12.56738,41.87194
12.56738,41.87194
-97.72598239999999,30.4023312
15.2551187,54.5259614
34.508523,-8.783195
-95.712891,37.09024
-95.0138776,41.4036007
72.8371511,18.9352599
-75.1652215,39.9525839
105.318756,61.52401
-8.629105299999999,41.1579438
2.3522219,48.856614
-73.9724212,40.7629475
-71.4128343,41.8239891
9.189982,45.464203500000004
9.189982,45.464203500000004
-97.74543399999999,30.267047
23.7275388,37.9838096
-2.0727839,53.7190281
8.227511999999999,46.818188
12.4963655,41.9027835
-3.188267,55.953252
-115.1688295,36.1137588
-3.4166667,55.76666669999999
2.213749,46.227638
78.96288,20.593684
-122.8231915,47.03426289999999
-0.4750856000000001,52.1185933
35.243322,38.963745
10.451526,51.165691
10.451526,51.165691
-84.4343341,33.8426856
-75.685881,44.5902705
22.9322383,37.9386365
-102.4107493,34.2331373
NA,NA
NA,NA
6.9008601,45.2596238
3.515625,56.511018
-76.282778,36.870981
-70.7625532,43.0717552
-77.44776619999999,38.7931699
-86.05296039999999,35.8070317
-73.4828576,40.7948899
-73.4828576,40.7948899
38.996815,34.80207499999999
-73.9015246,41.7667602
104.195397,35.86166
-120.4698024,47.5223465
18.0480105,34.5531284
6.6322734,46.5196535
6.477634999999999,46.373565
8.3093072,47.05016819999999
30.802498,26.820553
28.9783589,41.0082376
-105.2551187,54.5259614
-102.552784,23.634501
-75.015152,-9.189967
-93.0899578,44.9537029
-93.0899578,44.9537029
153.3872452,-27.9023189
-7.692053599999999,53.1423672
-122.4034548,37.7681477
14.550072,47.516231
-71.20922139999999,42.3370413
NA,NA
4.4777326,51.9244201
11.2558136,43.7695604
9.656999599999999,46.88761909999999
-81.0446262,24.726026
-77.52721319999999,38.932611
8.227511999999999,46.818188
-0.0076589,51.48257659999999
-0.0076589,51.48257659999999
-75.16135849999999,39.964057
19.5033041,47.162494
-93.295761,37.208149
-117.7458483,33.67342259999999
-71.0723391,42.5039395
9.0851765,45.8080597
-2.58791,51.454513
-2.2426305,53.4807593
1.077483,49.922992
34.299316,43.41302899999999
-97.10250769999999,32.4334742
77.10249019999999,28.7040592
-122.2585399,37.8718992
7.752111299999999,48.5734053
7.752111299999999,48.5734053
-72.252669,43.642665
-0.7371249,51.5860377
-3.74922,40.46366700000001
-76.09161700000001,39.5492792
6.9602786,50.937531
-2.0727839,53.7190281
-87.63172469999999,41.8910622
-2.9605206,58.9809401
NA,NA
144.9630576,-37.8136276
-86.10419999999999,42.790068
-73.98089499999999,40.7415809
13.518915,43.6158299
